Rank,Team,Clean Sheets,Goals Conceded,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Pentalty Area
1,Picture,7,1,14,120,93
,Spain,,,,,
2,Picture,4,10,15,108,86
,France,,,,,
2,Picture,4,1,7,57,54
,Colombia,,,,,
2,Picture,4,3,8,60,49
,Mexico,,,,,
5,Picture,2,8,20,111,97
,Argentina,,,,,
5,Picture,2,6,19,112,91
,Morocco,,,,,
5,Picture,2,12,25,159,132
,England,,,,,
5,Picture,2,4,15,67,59
,Brazil,,,,,
5,Picture,2,4,11,84,68
,Côte d'Ivoire,,,,,
5,Picture,2,6,28,141,124
,Paraguay,,,,,
5,Picture,2,6,20,100,88
,Switzerland,,,,,
5,Picture,2,8,10,79,65
,USA,,,,,
5,Picture,2,6,7,49,40
,Canada,,,,,
5,Picture,2,5,18,136,102
,Cabo Verde,,,,,
5,Picture,2,3,16,86,77
,Ghana,,,,,
5,Picture,2,3,14,91,76
,Australia,,,,,
5,Picture,2,3,20,114,93
,Portugal,,,,,
18,Picture,1,4,12,68,63
,Ecuador,,,,,
18,Picture,1,9,21,81,72
,Curaçao,,,,,
18,Picture,1,4,9,75,64
,Scotland,,,,,
18,Picture,1,5,17,78,64
,Japan,,,,,
18,Picture,1,7,19,117,95
,Belgium,,,,,
18,Picture,1,7,12,80,68
,Croatia,,,,,
18,Picture,1,4,14,72,59
,South Africa,,,,,
18,Picture,1,9,13,87,70
,Senegal,,,,,
18,Picture,1,5,17,86,78
,Saudi Arabia,,,,,
18,Picture,1,3,15,75,65
,IR Iran,,,,,
28,Picture,0,8,13,56,48
,Haiti,,,,,
28,Picture,0,5,8,55,46
,Türkiye,,,,,
28,Picture,0,11,6,82,65
,Uzbekistan,,,,,
28,Picture,0,4,9,48,42
,Panama,,,,,
28,Picture,0,3,11,42,34
,Korea Republic,,,,,
28,Picture,0,5,7,61,45
,Germany,,,,,
28,Picture,0,5,17,57,54
,Netherlands,,,,,
28,Picture,0,9,15,85,74
,Austria,,,,,
28,Picture,0,12,10,94,81
,Iraq,,,,,
28,Picture,0,9,9,48,45
,Algeria,,,,,
28,Picture,0,10,11,97,88
,New Zealand,,,,,
28,Picture,0,4,4,48,39
,Uruguay,,,,,
28,Picture,0,6,11,60,52
,Czechia,,,,,
28,Picture,0,11,22,132,115
,Norway,,,,,
28,Picture,0,10,16,124,103
,Qatar,,,,,
28,Picture,0,7,14,119,105
,Egypt,,,,,
28,Picture,0,12,7,77,64
,Tunisia,,,,,
28,Picture,0,5,15,83,70
,Congo DR,,,,,
28,Picture,0,8,8,92,70
,Bosnia and Herzegovina,,,,,
28,Picture,0,8,8,70,56
,Jordan,,,,,
28,Picture,0,10,16,76,66
,Sweden,,,,,
