Rank,Team,Clean Sheets,Goals Conceded,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Shots on Target Faced (proxy),Save Percentage,Clean Sheet Group
18.0,South Africa,1.0,4.0,14.0,72.0,59.0,18.0,77.77777777777779,At least 1 clean sheet
18.0,Senegal,1.0,9.0,13.0,87.0,70.0,22.0,59.09090909090909,At least 1 clean sheet
2.0,Mexico,4.0,3.0,8.0,60.0,49.0,11.0,72.72727272727273,At least 1 clean sheet
2.0,France,4.0,10.0,15.0,108.0,86.0,25.0,60.0,At least 1 clean sheet
5.0,Australia,2.0,3.0,14.0,91.0,76.0,17.0,82.35294117647058,At least 1 clean sheet
5.0,Switzerland,2.0,6.0,20.0,100.0,88.0,26.0,76.92307692307693,At least 1 clean sheet
5.0,Morocco,2.0,6.0,19.0,112.0,91.0,25.0,76.0,At least 1 clean sheet
5.0,Paraguay,2.0,6.0,28.0,141.0,124.0,34.0,82.35294117647058,At least 1 clean sheet
18.0,Curaçao,1.0,9.0,21.0,81.0,72.0,30.0,70.0,At least 1 clean sheet
5.0,Côte d'Ivoire,2.0,4.0,11.0,84.0,68.0,15.0,73.33333333333333,At least 1 clean sheet
5.0,Brazil,2.0,4.0,15.0,67.0,59.0,19.0,78.94736842105263,At least 1 clean sheet
5.0,USA,2.0,8.0,10.0,79.0,65.0,18.0,55.55555555555556,At least 1 clean sheet
18.0,Belgium,1.0,7.0,19.0,117.0,95.0,26.0,73.07692307692307,At least 1 clean sheet
5.0,Ghana,2.0,3.0,16.0,86.0,77.0,19.0,84.21052631578947,At least 1 clean sheet
18.0,Saudi Arabia,1.0,5.0,17.0,86.0,78.0,22.0,77.27272727272727,At least 1 clean sheet
5.0,Cabo Verde,2.0,5.0,18.0,136.0,102.0,23.0,78.26086956521739,At least 1 clean sheet
5.0,Canada,2.0,6.0,7.0,49.0,40.0,13.0,53.84615384615385,At least 1 clean sheet
18.0,Croatia,1.0,7.0,12.0,80.0,68.0,19.0,63.1578947368421,At least 1 clean sheet
2.0,Colombia,4.0,1.0,7.0,57.0,54.0,8.0,87.5,At least 1 clean sheet
18.0,Japan,1.0,5.0,17.0,78.0,64.0,22.0,77.27272727272727,At least 1 clean sheet
28.0,Egypt,0.0,7.0,14.0,119.0,105.0,21.0,66.66666666666666,No clean sheet
28.0,Sweden,0.0,10.0,16.0,76.0,66.0,26.0,61.53846153846154,No clean sheet
28.0,Algeria,0.0,9.0,9.0,48.0,45.0,18.0,50.0,No clean sheet
28.0,Netherlands,0.0,5.0,17.0,57.0,54.0,22.0,77.27272727272727,No clean sheet
28.0,Jordan,0.0,8.0,8.0,70.0,56.0,16.0,50.0,No clean sheet
28.0,Austria,0.0,9.0,15.0,85.0,74.0,24.0,62.5,No clean sheet
28.0,Bosnia and Herzegovina,0.0,8.0,8.0,92.0,70.0,16.0,50.0,No clean sheet
28.0,Panama,0.0,4.0,9.0,48.0,42.0,13.0,69.23076923076923,No clean sheet
28.0,Uruguay,0.0,4.0,4.0,48.0,39.0,8.0,50.0,No clean sheet
28.0,Haiti,0.0,8.0,13.0,56.0,48.0,21.0,61.90476190476191,No clean sheet
28.0,Korea Republic,0.0,3.0,11.0,42.0,34.0,14.0,78.57142857142857,No clean sheet
28.0,Uzbekistan,0.0,11.0,6.0,82.0,65.0,17.0,35.294117647058826,No clean sheet
28.0,Türkiye,0.0,5.0,8.0,55.0,46.0,13.0,61.53846153846154,No clean sheet
28.0,Congo DR,0.0,5.0,15.0,83.0,70.0,20.0,75.0,No clean sheet
28.0,Qatar,0.0,10.0,16.0,124.0,103.0,26.0,61.53846153846154,No clean sheet
28.0,Tunisia,0.0,12.0,7.0,77.0,64.0,19.0,36.84210526315789,No clean sheet
28.0,Germany,0.0,5.0,7.0,61.0,45.0,12.0,58.333333333333336,No clean sheet
28.0,Czechia,0.0,6.0,11.0,60.0,52.0,17.0,64.70588235294117,No clean sheet
28.0,Iraq,0.0,12.0,10.0,94.0,81.0,22.0,45.45454545454545,No clean sheet
28.0,Norway,0.0,11.0,22.0,132.0,115.0,33.0,66.66666666666666,No clean sheet
