player_name,team,position,minutes,yellowcards,yellow_cards_per_90
Aissa MANDI,Algeria,DF,403.12651666666665,0.0,0.0
Riyad Mahrez,Algeria,FW,288.37985000000003,0.0,0.0
Amine GOUIRI,Algeria,FW,270.77358333333336,0.0,0.0
Anis HADJ MOUSSA,Algeria,FW,114.74666666666668,0.0,0.0
Jaouen HADJAM,Algeria,DF,125.39934999999998,0.0,0.0
Rayan AIT-NOURI,Algeria,DF,315.7954833333333,0.0,0.0
Rafik BELGHALI,Algeria,DF,362.7103666666667,0.0,0.0
Ramy BENSEBAINI,Algeria,DF,403.12651666666665,0.0,0.0
Marcos SENESI,Argentina,DF,126.71301666666668,0.0,0.0
Nicolas TAGLIAFICO,Argentina,DF,543.3537,0.0,0.0
Gonzalo MONTIEL,Argentina,DF,241.71780000000007,1.0,0.3723350121505325
Lisandro MARTINEZ,Argentina,DF,708.075,2.0,0.2542103590721322
Julian ALVAREZ,Argentina,FW,690.6236666666668,0.0,0.0
Lionel MESSI,Argentina,FW,853.23305,0.0,0.0
Cristian ROMERO,Argentina,DF,685.9859166666668,2.0,0.2623960574506449
Thiago ALMADA,Argentina,FW,267.9313333333334,1.0,0.3359069612363366
Giuliano SIMEONE,Argentina,FW,217.07101666666665,0.0,0.0
Nicolas OTAMENDI,Argentina,DF,308.2720333333333,0.0,0.0
Lautaro MARTINEZ,Argentina,FW,368.9436833333334,1.0,0.2439396690217535
Facundo MEDINA,Argentina,DF,350.0819333333333,1.0,0.2570826753127697
Nahuel MOLINA,Argentina,DF,592.58425,0.0,0.0
Alessandro CIRCATI,Australia,DF,438.20265000000006,1.0,0.2053844265889309
Jacob ITALIANO,Australia,DF,183.24768333333333,1.0,0.49113854190607775
Jordan BOS,Australia,DF,343.94795000000005,1.0,0.261667499399255
Mohamed TOURE,Australia,FW,182.86648333333332,0.0,0.0
Ajdin HRUSTIC,Australia,FW,90.67051666666669,0.0,0.0
Aziz BEHICH,Australia,DF,245.4124666666667,0.0,0.0
Nestory IRANKUNDA,Australia,FW,285.9299666666667,0.0,0.0
Harry SOUTTAR,Australia,DF,438.20265000000006,1.0,0.2053844265889309
Cristian VOLPATO,Australia,FW,180.0079166666667,0.0,0.0
Cameron BURGESS,Australia,DF,152.46643333333333,0.0,0.0
Lucas HERRINGTON,Australia,DF,232.60048333333336,0.0,0.0
Kevin Danso,Austria,DF,284.35603333333336,0.0,0.0
Stefan POSCH,Austria,DF,370.8797333333333,2.0,0.4853325318755622
Marko ARNAUTOVIC,Austria,FW,173.85736666666665,1.0,0.5176657263684158
David ALABA,Austria,DF,302.36645,0.0,0.0
Michael Gregoritsch,Austria,FW,207.01103333333333,0.0,0.0
Philipp Lienhart,Austria,DF,207.58295,0.0,0.0
Phillip MWENE,Austria,DF,160.33888333333334,0.0,0.0
Arthur THEATE,Belgium,DF,268.6363666666667,0.0,0.0
Brandon MECHELE,Belgium,DF,651.5232166666667,1.0,0.1381378248659494
Maxim DE CUYPER,Belgium,DF,492.7201166666667,1.0,0.1826594793995117
Romelu LUKAKU,Belgium,FW,279.7895666666667,1.0,0.3216703219931837
Leandro TROSSARD,Belgium,FW,561.80265,0.0,0.0
Jeremy DOKU,Belgium,FW,341.66400000000004,0.0,0.0
Dodi LUKEBAKIO,Belgium,FW,194.88106666666664,0.0,0.0
Thomas MEUNIER,Belgium,DF,226.56786666666665,0.0,0.0
Charles DE KETELAERE,Belgium,FW,385.95775,0.0,0.0
Timothy CASTAGNE,Belgium,DF,546.7098,1.0,0.164621157330635
Nathan NGOY,Belgium,DF,376.6632166666667,0.0,0.0
Tarik MUHAREMOVIC,Bosnia and Herzegovina,DF,292.6953,0.0,0.0
