player_name,team,position,minutes,yellowcards,yellow_cards_per_90
Denzel DUMFRIES,Netherlands,DF,432.60131666666666,0.0,0.0
Moise BOMBITO,Canada,DF,221.1265,0.0,0.0
Ramy BENSEBAINI,Algeria,DF,403.12651666666665,0.0,0.0
NELSON SEMEDO,Portugal,DF,164.07330000000002,1.0,0.5485353192749826
Achraf HAKIMI,Morocco,DF,650.4326666666667,1.0,0.13836943408951374
Robin HRANAC,Czechia,DF,301.0626833333333,0.0,0.0
Jack Hendry,Scotland,DF,306.7999,0.0,0.0
Ozan KABAK,Türkiye,DF,104.90255,0.0,0.0
PEDRO MIGUEL,Qatar,DF,310.32276666666667,0.0,0.0
Joshua KIMMICH,Germany,DF,392.5518666666667,0.0,0.0
Marc CUCURELLA,Spain,DF,857.4236500000001,1.0,0.10496561413952134
Sebastian CACERES,Uruguay,DF,313.2592666666667,0.0,0.0
KIM Minjae,Korea Republic,DF,268.94835,0.0,0.0
Grant Hanley,Scotland,DF,203.89001666666667,0.0,0.0
ALI LAJAMI,Saudi Arabia,DF,177.82118333333335,0.0,0.0
YASSER IBRAHIM,Egypt,DF,533.0749166666666,2.0,0.3376636085703401
Derrick LUCKASSEN,Ghana,DF,205.15231666666665,0.0,0.0
Fidel ESCOBAR,Panama,DF,98.92756666666666,0.0,0.0
Abdulkerim BARDAKCI,Türkiye,DF,300.14936666666665,0.0,0.0
Tim PAYNE,New Zealand,DF,241.8867,0.0,0.0
Milad MOHAMMADI,IR Iran,DF,235.64893333333333,0.0,0.0
Aziz BEHICH,Australia,DF,245.4124666666667,0.0,0.0
Lucas HERRINGTON,Australia,DF,232.60048333333336,0.0,0.0
Lisandro MARTINEZ,Argentina,DF,708.075,2.0,0.2542103590721322
Tarik MUHAREMOVIC,Bosnia and Herzegovina,DF,292.6953,0.0,0.0
Anass SALAH EDDINE,Morocco,DF,240.6580333333333,0.0,0.0
Merih DEMIRAL,Türkiye,DF,208.8129333333333,0.0,0.0
Kristoffer AJER,Norway,DF,554.9256166666667,1.0,0.16218389870089797
Jarell QUANSAH,England,DF,208.85296666666667,1.0,0.4309251692059597
Khojiakbar ALIJONOV,Uzbekistan,DF,155.18188333333333,0.0,0.0
RAFAEL LEAO,Portugal,FW,203.5586,0.0,0.0
PEDRO NETO,Portugal,FW,381.3532,0.0,0.0
Dodi LUKEBAKIO,Belgium,FW,194.88106666666664,0.0,0.0
Patrik Schick,Czechia,FW,199.70201666666668,0.0,0.0
FERAS ALBRIKAN,Saudi Arabia,FW,262.48803333333336,1.0,0.3428727735016745
Erling HAALAND,Norway,FW,537.7782333333333,0.0,0.0
MOUSA ALTAMARI,Jordan,FW,230.20638333333332,0.0,0.0
Gabriel AVALOS,Paraguay,FW,170.38978333333336,0.0,0.0
Federico VINAS,Uruguay,FW,211.94870000000003,0.0,0.0
ODEH FAKHOURY,Jordan,FW,163.6099166666667,0.0,0.0
Dani OLMO,Spain,FW,535.375,0.0,0.0
Crysencio SUMMERVILLE,Netherlands,FW,282.13658333333336,1.0,0.3189944350239349
Ricardo PEPI,USA,FW,247.66133333333332,0.0,0.0
Jeremy DOKU,Belgium,FW,341.66400000000004,0.0,0.0
Luis DIAZ,Colombia,FW,525.3198833333333,0.0,0.0
Amad DIALLO,Côte d'Ivoire,FW,211.6427833333333,0.0,0.0
Darwin NUNEZ,Uruguay,FW,182.71911666666665,0.0,0.0
Romelu LUKAKU,Belgium,FW,279.7895666666667,1.0,0.3216703219931837
Antonio NUSA,Norway,FW,357.44168333333334,1.0,0.2517893245149873
Brian BROBBEY,Netherlands,FW,245.16461666666672,0.0,0.0
Marcus RASHFORD,England,FW,258.79611666666665,0.0,0.0
Antonio SANABRIA,Paraguay,FW,95.1296,0.0,0.0
Mikel OYARZABAL,Spain,FW,664.9475333333335,0.0,0.0
Haissem HASSAN,Egypt,FW,138.7773666666667,2.0,1.2970414724206947
Kylian MBAPPE,France,FW,769.7895666666667,1.0,0.11691506860727782
Cedric BAKAMBU,Congo DR,FW,210.44096666666667,0.0,0.0
Esmir BAJRAKTAREVIC,Bosnia and Herzegovina,FW,262.9071,0.0,0.0
Ferran TORRES,Spain,FW,349.2808333333333,1.0,0.25767231239427685
Ruben VARGAS,Switzerland,FW,314.0156833333333,0.0,0.0
Shahriyar MOGHANLOO,IR Iran,FW,108.96733333333334,0.0,0.0
