team_id,team,team_code
43843,Algeria,ALG
43922,Argentina,ARG
43976,Australia,AUS
43934,Austria,AUT
43935,Belgium,BEL
44037,Bosnia and Herzegovina,BIH
43924,Brazil,BRA
43850,Cabo Verde,CPV
43899,Canada,CAN
43926,Colombia,COL
20014,Congo DR,COD
43854,Côte d'Ivoire,CIV
43938,Croatia,CRO
1895293,Curaçao,CUW
43995,Czechia,CZE
43927,Ecuador,ECU
43855,Egypt,EGY
43942,England,ENG
43946,France,FRA
43948,Germany,GER
43860,Ghana,GHA
43908,Haiti,HAI
43817,IR Iran,IRN
43818,Iraq,IRQ
43819,Japan,JPN
43820,Jordan,JOR
43822,Korea Republic,KOR
43911,Mexico,MEX
43872,Morocco,MAR
43960,Netherlands,NED
43978,New Zealand,NZL
43961,Norway,NOR
43914,Panama,PAN
43928,Paraguay,PAR
43963,Portugal,POR
43834,Qatar,QAT
43835,Saudi Arabia,KSA
43967,Scotland,SCO
43879,Senegal,SEN
43883,South Africa,RSA
43969,Spain,ESP
43970,Sweden,SWE
43971,Switzerland,SUI
43888,Tunisia,TUN
43972,Türkiye,TUR
43930,Uruguay,URU
43921,USA,USA
44005,Uzbekistan,UZB
